osm_id,repr_road,lon,lat
31760211,31760211,2.4226108,6.386519
31760287,31760287,2.39953,6.356512
34915945,34915945,2.609461,9.34081
34915951,34915951,2.626149,9.341156
35268520,35268520,2.0735006,7.160417
35313839,35313839,2.0843713,7.1866994
35319585,35319585,2.6112528,9.332595
35326019,35326019,1.5725398,9.797471
35375931,35375931,1.6605468,9.706573
38725477,38725477,2.9245107,11.121601
40826102,40826102,1.3693806,10.2885275
66776125,66776125,1.9824532,7.9461474
66776155,66776155,1.9890698,7.9353247
77383683,77383683,1.3803337,10.260968
79900321,79900321,3.3968506,11.880623
80361846,80361846,0.9763639,10.9939785
84375748,84375748,1.6668941,8.998997
113488979,113488979,1.5947227,9.127885
119744519,119744519,1.4852012,9.645797
145738460,145738460,1.9627564,6.591492
169906528,169906528,1.883778,6.4039083
180994109,180994109,2.075313,7.1736684
183730581,183730581,1.7020137,6.947064
215099379,215099379,1.3955004,9.651132
229443171,229443171,2.9319093,11.120765
235002814,235002814,1.9424047,8.426673
326700693,326700693,3.223511,11.725147
379236523,379236523,1.5415286,9.241588
381483953,381483953,1.538909,9.853499
626005211,626005211,3.548551,11.31103
723186762,723186762,3.8009722,10.438168
5054919,5054919,45.325233,2.0297313
5054941,5054941,45.32022,2.0337994
5229360,5229360,45.31506,2.0439332
28581892,28581892,49.191376,9.106357
28598268,28598268,48.2028,8.50876
28822141,28822141,43.985325,9.584612
74453498,74453498,47.47221,6.9930096
84866268,84866268,47.43199,6.763257
98422703,98422703,44.062393,9.562182
127180403,127180403,41.523182,-1.0008036
127181247,127181247,42.546852,-0.35874733
127266379,127266379,42.57798,-0.20913821
127273266,127273266,44.05527,9.571435
127332208,127332208,46.0677,5.349146
127406585,127406585,47.432934,6.770706
127972773,127972773,47.641464,6.943017
218126422,218126422,48.48588,8.394819
418818655,418818655,48.353825,8.448023
622275093,622275093,44.604015,9.878544
759246206,759246206,42.51957,-0.3699876
855876354,855876354,45.248344,4.9681497
8113165,8113165,-17.46883,14.716748
8115724,8115724,-17.50097,14.726619
8598116,8598116,-17.433834,14.653621
23084236,23084236,-15.60587,13.588196
23084240,23084240,-15.832993,12.997383
23514340,23514340,-13.352451,15.58288
25778151,25778151,-16.812368,14.952133
25860752,25860752,-17.445574,14.677349
25907726,25907726,-16.491411,16.022894
25907727,25907727,-12.208595,14.454199
26094367,26094367,-16.262644,12.644786
26187498,26187498,-16.635963,14.367149
26711262,26711262,-15.995236,14.28212
26752290,26752290,-16.059792,15.473049
26753067,26753067,-16.414133,12.520185
26753632,26753632,-16.696949,12.40055
26753959,26753959,-15.427659,12.65661
26754528,26754528,-15.554297,12.712642
26781608,26781608,-16.070345,14.131259
26966677,26966677,-14.161416,13.198253
26966960,26966960,-12.698561,13.059497
26990307,26990307,-12.479514,14.886706
27294284,27294284,-17.441711,14.704698
27374637,27374637,-15.619085,12.991169
30376094,30376094,-12.124026,12.609145
30376095,30376095,-11.556432,12.900892
31460042,31460042,-15.801982,16.458357
31468199,31468199,-13.751097,13.130461
31468612,31468612,-14.0186205,13.177666
31469587,31469587,-16.263859,12.581451
31470071,31470071,-16.597868,13.042792
31974759,31974759,-16.393164,16.083437
37520473,37520473,-16.077517,14.135869
101404614,101404614,-15.891927,14.857941
136663850,136663850,-15.702978,16.459827
136997604,136997604,-16.432333,16.050068
147727115,147727115,-16.369467,13.849764
149749734,149749734,-16.36409,13.862353
169003596,169003596,-16.792583,14.434831
169242362,169242362,-14.4553,13.97711
175468671,175468671,-14.877149,16.586931
176165358,176165358,-16.271868,12.555494
176336167,176336167,-12.989173,15.348487
178240357,178240357,-16.051653,14.327682
178243860,178243860,-15.1161175,15.400097
178470942,178470942,-12.175724,12.554364
178470945,178470945,-12.179905,12.55471
188148870,188148870,-12.458115,14.902961
188151629,188151629,-14.133875,16.298838
188539829,188539829,-15.680407,16.463617
188539859,188539859,-15.688155,16.455091
190739984,190739984,-15.726529,13.719112
201544138,201544138,-13.912082,13.253656
201544148,201544148,-13.691097,13.59994
207319417,207319417,-15.491851,15.370919
207524712,207524712,-15.55029,14.098963
207524713,207524713,-15.550341,14.098851
